orig_airport,dest_airport,total_passengers,orig_lon,orig_lat,dest_lon,dest_lat,orig_state,dest_state,orig_city,dest_city
MHK,AMW,21,-96.6707992553711,39.14099884033203,-93.621803,41.992001,KS,IA,Manhattan,Ames
SEA,RDM,61274,-122.308998,47.449001,-121.1500015,44.2541008,WA,OR,Seattle,Bend
GEG,RDM,13,-117.53399658203124,47.61989974975586,-121.1500015,44.2541008,WA,OR,Spokane,Bend
AZA,RDM,2538,-111.6549988,33.30780029,-121.1500015,44.2541008,AZ,OR,Phoenix,Bend
BIL,RDM,100,-108.54299926757812,45.807701110839844,-121.1500015,44.2541008,MT,OR,Billings,Bend
MFR,RDM,64,-122.8730010986328,42.37419891357422,-121.1500015,44.2541008,OR,OR,Medford,Bend
EUG,RDM,5093,-123.21199798583984,44.12459945678711,-121.1500015,44.2541008,OR,OR,Eugene,Bend
DLH,RDM,100,-92.19360351559999,46.8420982361,-121.1500015,44.2541008,MN,OR,Duluth,Bend
RNO,RDM,70,-119.76799774169922,39.49909973144531,-121.1500015,44.2541008,NV,OR,Reno,Bend
SLE,RDM,87,-123.00299840000002,44.90950012,-121.1500015,44.2541008,OR,OR,Salem,Bend
SLC,RDM,27489,-111.97799682617188,40.78839874267578,-121.1500015,44.2541008,UT,OR,Salt Lake City,Bend
LMT,RDM,16,-121.733002,42.156101,-121.1500015,44.2541008,OR,OR,Klamath Falls,Bend
SFO,RDM,22372,-122.375,37.61899948120117,-121.1500015,44.2541008,CA,OR,San Francisco,Bend
OKC,RDM,100,-97.60070037841795,35.39310073852539,-121.1500015,44.2541008,OK,OR,Oklahoma City,Bend
SAN,RDM,140,-117.190002441,32.7336006165,-121.1500015,44.2541008,CA,OR,San Diego,Bend
LAS,RDM,13510,-115.1520004,36.08010101,-121.1500015,44.2541008,NV,OR,Las Vegas,Bend
FSM,RDM,200,-94.36740112304688,35.33660125732422,-121.1500015,44.2541008,AR,OR,Fort Smith,Bend
PDX,RDM,83517,-122.5979996,45.58869934,-121.1500015,44.2541008,OR,OR,Portland,Bend
STS,RDM,73,-122.8130035,38.50899887,-121.1500015,44.2541008,CA,OR,Santa Rosa,Bend
ABQ,RDM,99,-106.609001,35.040199,-121.1500015,44.2541008,NM,OR,Albuquerque,Bend
LAX,RDM,23486,-118.407997,33.942501,-121.1500015,44.2541008,CA,OR,Los Angeles,Bend
LAS,EKO,202,-115.1520004,36.08010101,-115.79199981689452,40.82490158081055,NV,NV,Las Vegas,Elko
OAK,EKO,161,-122.221001,37.721298,-115.79199981689452,40.82490158081055,CA,NV,Oakland,Elko
RNO,EKO,45,-119.76799774169922,39.49909973144531,-115.79199981689452,40.82490158081055,NV,NV,Reno,Elko
SLC,EKO,24590,-111.97799682617188,40.78839874267578,-115.79199981689452,40.82490158081055,UT,NV,Salt Lake City,Elko
PHL,ERI,33384,-75.24109649658203,39.87189865112305,-80.1738667488,42.0831270134,PA,PA,Philadelphia,Erie
ACY,ERI,612,-74.57720184326172,39.45759963989258,-80.1738667488,42.0831270134,NJ,PA,Atlantic City,Erie
CLE,ERI,27869,-81.8498001099,41.411701202399996,-80.1738667488,42.0831270134,OH,PA,Cleveland,Erie
JFK,ERI,45,-73.7789,40.639801,-80.1738667488,42.0831270134,NY,PA,New York,Erie
ABE,ERI,33,-75.44080352783203,40.652099609375,-80.1738667488,42.0831270134,PA,PA,Allentown,Erie
AVP,ERI,46,-75.72339630130001,41.338500976599995,-80.1738667488,42.0831270134,PA,PA,Scranton,Erie
PIT,ERI,594,-80.23290253,40.49150085,-80.1738667488,42.0831270134,PA,PA,Pittsburgh,Erie
PVD,ERI,50,-71.42040300000002,41.732601,-80.1738667488,42.0831270134,RI,PA,Providence,Erie
GSO,ERI,46,-79.93730163574219,36.097801208496094,-80.1738667488,42.0831270134,NC,PA,Greensboro,Erie
PGV,ERI,56,-77.38529968,35.6352005,-80.1738667488,42.0831270134,NC,PA,Greenville,Erie
LAS,ERI,40,-115.1520004,36.08010101,-80.1738667488,42.0831270134,NV,PA,Las Vegas,Erie
BUF,ERI,38,-78.73220062,42.94049835,-80.1738667488,42.0831270134,NY,PA,Buffalo,Erie
