orig_airport,dest_airport,orig_city,dest_city,total_passengers
MHK,AMW,"Manhattan, KS","Ames, IA",21
SEA,RDM,"Seattle, WA","Bend, OR",61274
GEG,RDM,"Spokane, WA","Bend, OR",13
AZA,RDM,"Phoenix, AZ","Bend, OR",2538
BIL,RDM,"Billings, MT","Bend, OR",100
MFR,RDM,"Medford, OR","Bend, OR",64
EUG,RDM,"Eugene, OR","Bend, OR",5093
DLH,RDM,"Duluth, MN","Bend, OR",100
RNO,RDM,"Reno, NV","Bend, OR",70
SLE,RDM,"Salem, OR","Bend, OR",87
SLC,RDM,"Salt Lake City, UT","Bend, OR",27489
LMT,RDM,"Klamath Falls, OR","Bend, OR",16
SFO,RDM,"San Francisco, CA","Bend, OR",22372
OKC,RDM,"Oklahoma City, OK","Bend, OR",100
SAN,RDM,"San Diego, CA","Bend, OR",140
LAS,RDM,"Las Vegas, NV","Bend, OR",13510
FSM,RDM,"Fort Smith, AR","Bend, OR",200
PDX,RDM,"Portland, OR","Bend, OR",83517
STS,RDM,"Santa Rosa, CA","Bend, OR",73
ABQ,RDM,"Albuquerque, NM","Bend, OR",99
LAX,RDM,"Los Angeles, CA","Bend, OR",23486
LAS,EKO,"Las Vegas, NV","Elko, NV",202
OAK,EKO,"Oakland, CA","Elko, NV",161
RNO,EKO,"Reno, NV","Elko, NV",45
SLC,EKO,"Salt Lake City, UT","Elko, NV",24590
PHL,ERI,"Philadelphia, PA","Erie, PA",33384
ACY,ERI,"Atlantic City, NJ","Erie, PA",612
CLE,ERI,"Cleveland, OH","Erie, PA",27869
JFK,ERI,"New York, NY","Erie, PA",45
ABE,ERI,"Allentown, PA","Erie, PA",33
AVP,ERI,"Scranton, PA","Erie, PA",46
PIT,ERI,"Pittsburgh, PA","Erie, PA",594
PVD,ERI,"Providence, RI","Erie, PA",50
GSO,ERI,"Greensboro, NC","Erie, PA",46
PGV,ERI,"Greenville, NC","Erie, PA",56
LAS,ERI,"Las Vegas, NV","Erie, PA",40
BUF,ERI,"Buffalo, NY","Erie, PA",38
DTW,ERI,"Detroit, MI","Erie, PA",58085
GPT,GYY,"Gulfport, MS","Gary, IN",60
SBN,GYY,"South Bend, IN","Gary, IN",1
BMG,GYY,"Bloomington, IN","Gary, IN",47
RNO,GYY,"Reno, NV","Gary, IN",393
