orig_airport,dest_airport,total_passengers
SFO,LAX,1442105
LAX,SFO,1438639
MCO,ATL,1436625
ATL,MCO,1424069
LAX,JFK,1277731
JFK,LAX,1270696
FLL,ATL,1199733
ATL,FLL,1193529
LGA,ATL,1122132
ATL,LGA,1120846
OGG,HNL,1119274
LGA,ORD,1093939
ORD,LGA,1088249
HNL,OGG,1079287
LAX,ORD,1070840
LAS,LAX,1055640
DFW,ATL,1051302
ATL,DFW,1049305
ORD,LAX,1042732
LAX,HNL,1026419
HNL,LAX,1019379
TPA,ATL,1010173
LAX,LAS,1004566
SFO,JFK,1000733
ATL,TPA,988002
ATL,LAX,971119
LAX,ATL,967138
JFK,SFO,951467
LAS,PHX,932533
PHX,LAS,919742
LAS,SFO,916651
SFO,LAS,905630
ORD,DFW,901907
DFW,ORD,900357
MSP,ORD,891563
ORD,MSP,890440
SFO,ORD,870344
HOU,DAL,843857
DAL,HOU,843493
DCA,ATL,839045
ORD,SFO,838438
ATL,DCA,835963
LAX,DFW,830086
DFW,LAX,829984
PHL,ATL,824337
ATL,PHL,822772
LAS,ATL,809154
MCO,PHL,808633
PHL,MCO,808401
ATL,LAS,806845
LAX,SEA,804434
SEA,LAX,797689
PHX,LAX,795014
LAX,PHX,778177
ORD,BOS,775762
EWR,ATL,774041
ATL,MIA,767114
BOS,ORD,766306
ATL,EWR,765242
PHX,SAN,763690
MIA,ATL,761422
SAN,SFO,758173
SAN,PHX,741364
PHL,ORD,739118
SEA,ANC,736895
ANC,SEA,735984
SFO,SAN,730979
JAX,ATL,727463
BOS,ATL,726999
ATL,BOS,723048
BWI,ATL,720693
EWR,MCO,717079
ATL,JAX,715268
ATL,BWI,712592
ORD,PHL,711182
ORD,LAS,710789
EWR,ORD,706120
CLT,ATL,705847
MCO,EWR,702663
SEA,SFO,699326
ORD,ATL,698572
SFO,SEA,698496
LAS,ORD,698155
ATL,ORD,697418
DCA,ORD,685592
ATL,CLT,684264
ORD,DCA,683433
LGA,FLL,676705
FLL,LGA,675718
ORD,EWR,674068
JFK,MCO,666552
DFW,LAS,666384
MCO,JFK,663659
IAD,LAX,662019
LAS,DFW,661326
LAX,IAD,658069
ORD,PHX,654225
PHX,ORD,646181
ORD,SEA,634898
ATL,PHX,632081
DTW,MCO,631874
ORD,DTW,629359
DTW,ORD,628829
PHX,ATL,628612
MCO,DTW,628070
DFW,PHX,626978
SEA,ORD,623221
SLC,PHX,621379
MSP,DTW,620212
AUS,DFW,618764
PHX,SLC,616736
SEA,LAS,606894
PHX,DFW,606164
JFK,LAS,605275
LAS,JFK,604092
DTW,MSP,603607
HNL,ITO,602940
LAS,SEA,601127
DFW,AUS,597588
ATL,RDU,596967
MSP,ATL,595584
DFW,SAT,593846
SAT,DFW,592650
ATL,SFO,592523
ORD,MIA,592290
RDU,ATL,590082
ATL,MSP,588423
ITO,HNL,586312
PHX,SEA,582406
MIA,ORD,581465
IAH,LAX,577328
JFK,FLL,574360
SEA,PHX,572915
LGA,DFW,572403
ATL,DTW,571355
PBI,ATL,569151
DTW,ATL,568171
LAX,IAH,567999
FLL,JFK,567962
BOS,LGA,567155
DFW,LGA,564314
SEA,GEG,563882
GEG,SEA,560320
MSP,PHX,559857
LAX,OAK,559185
EWR,FLL,559154
ATL,PBI,557788
FLL,EWR,556750
OAK,LAX,555195
LGA,BOS,554970
PHX,MSP,544177
SFO,ATL,543811
LAS,SAN,540733
MCO,DFW,540156
ORD,CLT,539233
DFW,MCO,538400
ATL,SLC,534656
STL,ORD,530560
SLC,LAS,530097
LGA,MIA,527763
