l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
22139,43193,23620,220000;132000,9,2,50,,ATEL; BKW,,489.727561091647,,,,,"","SRID=4326;LINESTRING(7.61602141237887 47.2325986006218,7.61790468099447 47.2273267897278)"
65908,42022,13686,750000,3;1;1;1;3,4;4;4;4,,750 kV,,,394971.083012409,,,,,"","SRID=4326;LINESTRING(26.6449735029238 50.2962827672493,21.8710468739922 50.1914848711349)"
67370,6913,48526,,,,,,,,10602.2458282291,,,,,"","SRID=4326;LINESTRING(18.1844471738857 40.0160881556809,18.1227042090092 39.9505462529953)"
3868,35422,28973,,,,,,,,2385.93453048162,,,,,"","SRID=4326;LINESTRING(10.2724738664462 49.8806084854841,10.2844972528953 49.8978166663891)"
4982,7864,63104,225000,3,1,50,,RTE,,1449.9865920913,,,,,"","SRID=4326;LINESTRING(3.80033661099728 45.0451075088105,3.78391058040093 45.04211430259)"
38020,2503,31912,220000;380000;380000,3;6;3,4,50,220kV Mündelheim Nord;380kV Meerbusch West+220kV Mündelheim Nord;380kV Meerbusch West,RWE,4540,490.313967584508,,,,,"","SRID=4326;LINESTRING(6.61738115554636 51.4757909650564,6.61109267348956 51.4709956023626)"
64824,54679,46913,330000,3,2,,,,,37646.3910391416,,,,,"","SRID=4326;LINESTRING(36.5270110078199 49.5842010736009,36.2465309010136 49.3663692493583)"
3604,2876,28930,110000;220000;110000;220000;110000;110000,3;6;3,2;1;2;2,50,Ludersheim - Schwandorf;Ludersheim - Schwandorf;Lauterhofen - Schwandorf;Lauterhofen - Schwandorf,E.ON Netz GmbH,160,36588.7838881642,,,,,"","SRID=4326;LINESTRING(12.082254511457 49.2974477819197,11.674237749145 49.4015331398856)"
63093,41060,45774,220000,3,,50,,,,42851.3261860475,,,,,"","SRID=4326;LINESTRING(-8.31980002484333 51.9540661377153,-8.91412926413555 51.9381946588038)"
54932,5122,33999,,3,,,,,,3447.20895430143,,,,,"","SRID=4326;LINESTRING(18.2587994196991 59.2447455672826,18.271770608233 59.2160579798021)"
32903,25273,59162,,,,,,,,47.1159394215578,,,,,"","SRID=4326;LINESTRING(26.0574839080675 44.9106131760106,26.0571202700405 44.9109651816456)"
10511,11437,54494,220000,3;6,,,,,,17790.905274588,,,,,"","SRID=4326;LINESTRING(-5.24732180307393 37.6435172656315,-5.16410542406533 37.5280199292517)"
46049,52163,66918,380000,3,3,,,,21.364,30875.268889632,,,,,"","SRID=4326;LINESTRING(15.4724362092492 41.2197231531694,15.4846545534518 41.4673247813627)"
67366,11107,14600,400000,6;3;3;3;3;3;6;6;3;6;6;6;3;3,,,,,,74617.3426609414,,,,,"","SRID=4326;LINESTRING(23.0046649291308 42.5287561706021,23.1024071887942 41.9645650613906)"
57314,61069,8010,300000,,3,,,,,28341.8355839571,,,,,"","SRID=4326;LINESTRING(9.81887315699117 59.7275675962357,10.2153095044315 59.8672063830499)"
