v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
27978,-2.17659206194142,57.2818494867491,joint,275000,,,,,SRID=4326;POINT(-2.17659206194142 57.2818494867491)
45518,38.2154050764474,48.0664012417985,substation,330000;110000;10000,50,Харцизька-330,,,SRID=4326;POINT(38.2154050764474 48.0664012417985)
33655,7.70404979297499,51.6847670848225,joint,380000;0,50,380kV Gersteinwerk Ost+Uentrop Nord,RWE,4325,SRID=4326;POINT(7.70404979297499 51.6847670848225)
44535,-0.858256184668034,41.5719223884162,substation,220000,50,Subestacion Electrica Aceralia,,,SRID=4326;POINT(-0.858256184668034 41.5719223884162)
41625,3.04507430374696,50.5432568554551,substation,,,,,,SRID=4326;POINT(3.04507430374696 50.5432568554551)
47820,8.94546455022104,47.4643679434768,sub_station,,,,,,SRID=4326;POINT(8.94546455022104 47.4643679434768)
43559,23.5686753622712,61.5606996260443,sub_station,,,,,,SRID=4326;POINT(23.5686753622712 61.5606996260443)
50562,30.6132295880043,48.1452885817562,substation,330000;150000;35000,50,Побузька-330,,,SRID=4326;POINT(30.6132295880043 48.1452885817562)
42886,23.5722197325094,61.5524353359531,substation,,,,,,SRID=4326;POINT(23.5722197325094 61.5524353359531)
57406,-8.59782310518647,41.2336881620999,joint,220000,,,,,SRID=4326;POINT(-8.59782310518647 41.2336881620999)
46850,26.2443124296444,47.6191112900297,station,,,,,,SRID=4326;POINT(26.2443124296444 47.6191112900297)
39205,6.11576479750662,46.2345885017099,substation,,,,,,SRID=4326;POINT(6.11576479750662 46.2345885017099)
12854,18.3926279585518,60.1789897073672,substation,,,,,,SRID=4326;POINT(18.3926279585518 60.1789897073672)
66330,6.75307329060675,58.2635414667191,joint,,,,,,SRID=4326;POINT(6.75307329060675 58.2635414667191)
9747,9.25938384939031,51.0603668958049,substation,380000;110000,50,Umspannwerk Borken,TenneT,,SRID=4326;POINT(9.25938384939031 51.0603668958049)
35786,24.1872032544609,60.0723899982307,sub_station,,,,,,SRID=4326;POINT(24.1872032544609 60.0723899982307)
13888,40.3898543328672,56.1705022490923,substation,,,,,,SRID=4326;POINT(40.3898543328672 56.1705022490923)
44043,25.9531576920634,48.249617142178,station,,,,,,SRID=4326;POINT(25.9531576920634 48.249617142178)
67926,2.59888100402164,46.3128520709084,joint,,,,ERDF,,SRID=4326;POINT(2.59888100402164 46.3128520709084)
37130,6.05375727398443,47.2676432193267,substation,,,Palente,,,SRID=4326;POINT(6.05375727398443 47.2676432193267)
13906,12.7574743330872,43.2879469736031,substation,,,,RFI,,SRID=4326;POINT(12.7574743330872 43.2879469736031)
48411,-21.0047947503265,64.0876858336726,substation,220000;132000,,,Landsnet,,SRID=4326;POINT(-21.0047947503265 64.0876858336726)
43855,22.8645284564471,62.8086808948174,sub_station,,,,,,SRID=4326;POINT(22.8645284564471 62.8086808948174)
28453,9.23502084166898,46.7723373802121,joint,380000;220000,50,,Swissgrid,,SRID=4326;POINT(9.23502084166898 46.7723373802121)
5294,19.1410709272918,50.3521511601746,substation,400000;220000;110000,,"Stacja elektroenergetyczna ""Łagisza"" 400/220/110 kV",PSE Operator,LAG,SRID=4326;POINT(19.1410709272918 50.3521511601746)
13988,-6.87409540171595,37.6492316494486,station,,,,,,SRID=4326;POINT(-6.87409540171595 37.6492316494486)
31127,9.02474510834453,47.4631520139207,joint,,,,,,SRID=4326;POINT(9.02474510834453 47.4631520139207)
60851,25.9247306058858,44.439484919431,joint,,,,,,SRID=4326;POINT(25.9247306058858 44.439484919431)
537,5.72646546851181,45.0905598126364,substation,,,,,,SRID=4326;POINT(5.72646546851181 45.0905598126364)
25781,6.46587129415339,46.7331499732534,joint,,,,,,SRID=4326;POINT(6.46587129415339 46.7331499732534)
55447,9.61410307487271,55.51256306805,merge,400000;150000,,400kV Skærbækværket;Skærbækværket,DONG,,SRID=4326;POINT(9.61410307487271 55.51256306805)
