l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
36040,13322,13394,230000,6;3;3,,60,,,,8088.92196971931,,,,,"","SRID=4326;LINESTRING(-99.24352997596 19.2906424386843,-99.1715354102171 19.2598226173141)"
10570,5366,18391,,,,,,,,31590.9354760208,,,,,"","SRID=4326;LINESTRING(-88.6532774661628 33.6356934310786,-88.3554827632603 33.650708663621)"
12952,16909,18633,,,,,,,,3978.62021133905,,,,,"","SRID=4326;LINESTRING(-88.2401665213656 37.1061274858299,-88.282623913995 37.0930230166821)"
11669,21844,21845,345000,3,,,West Medway - West Walpole 345kV transmission line,,389,46.9560505450507,,,,,"","SRID=4326;LINESTRING(-71.2814750000587 42.1297525744322,-71.2808923527655 42.1297976771994)"
12821,6227,22348,,,,,,,,20368.0047213702,,,,,"","SRID=4326;LINESTRING(-121.160329953608 38.1178208971966,-121.140182944628 37.9504781749696)"
37167,14527,14530,138000,3,,60,,FPL,,5923.08963576545,,,,,"","SRID=4326;LINESTRING(-80.2208421777124 26.3918726692979,-80.219746472126 26.3367616320416)"
24794,27842,27847,,,,,,,,882.780852336288,,,,,"","SRID=4326;LINESTRING(-119.537768140816 39.568143290721,-119.546439488422 39.5638551705466)"
7195,7383,29044,230000,3,,60,,,,22815.4034150749,,,,,"","SRID=4326;LINESTRING(-84.4889302531813 30.8396297742137,-84.697045216157 30.7410085574623)"
42207,20477,2794,500000,3,,,,Bonneville Power Administration,Grizzly - Captain Jack,93576.6022945158,,,,,"","SRID=4326;LINESTRING(-121.358864595312 42.0839457073507,-120.987467847555 42.853471492003)"
4515,2115,29564,230000,3,,60,230 kV transmission Line,,,18151.8628286565,,,,,"","SRID=4326;LINESTRING(-78.8128052640685 38.2660570001899,-78.8497466805997 38.1066970838077)"
27954,26593,4090,,,,,,,,4731.33677095259,,,,,"","SRID=4326;LINESTRING(-99.1295913353817 19.3767782760586,-99.0929973487811 19.3812534698555)"
1906,7888,30439,230000;230000;115000;115000,3;6;3,,60,,,,6984.82302648723,,,,,"","SRID=4326;LINESTRING(-117.355936738241 46.8860521741332,-117.286528069474 46.8633654940669)"
6619,18013,28801,345000,,,,,,,96162.2154873807,,,,,"","SRID=4326;LINESTRING(-94.2252148770501 44.1541334194081,-95.1431926945356 43.6702216120175)"
5344,12204,28422,230000,3,,60,,,,4.91011405966523,,,,,"","SRID=4326;LINESTRING(-80.2464862134398 27.3486330747803,-80.2492403174042 27.3467023480636)"
10250,3972,21214,500000,,,,500kV transmission line,TVA,,3200.35333559859,,,,,"","SRID=4326;LINESTRING(-86.8467920273917 36.4926315894788,-86.8531747774057 36.4645431630884)"
15702,30738,23624,230000,3,2,,,,Los Esteros-Newark,641.527163521913,,,,,"","SRID=4326;LINESTRING(-121.966058907059 37.5057710424973,-121.9660383213 37.505550491086)"
29908,2415,6402,230000;230000;115000;230000;115000,3;6;3;6;6,,60,,,,5169.94580794224,,,,,"","SRID=4326;LINESTRING(-77.6590629227845 36.4459926602926,-77.6668121081393 36.3989146531569)"
23408,14531,27220,138000,3,,60,,Florida Power & Light,,3495.61268336508,,,,,"","SRID=4326;LINESTRING(-80.2172855367499 26.2592426823558,-80.2202706494916 26.2290684926199)"
32600,9139,9138,,3,,,,,,13555.338558207,,,,,"","SRID=4326;LINESTRING(-112.162211702832 43.4679563203023,-112.220415191025 43.5549087684842)"
7205,179,29050,345000,3;6,,60,345kV transmission line,,,40796.6503704397,,,,,"","SRID=4326;LINESTRING(-88.2253788006448 41.2447489886979,-88.6675083613522 41.244726431089)"
9853,3686,21003,345000,3,,60,Bixby - Kirk 345kV transmission line,AEP,,1060.89950214841,,,,,"","SRID=4326;LINESTRING(-82.6481498189045 39.9912484325824,-82.654832989552 39.9844888678516)"
22552,15714,26814,,,,,,,,601.014316090159,,,,,"","SRID=4326;LINESTRING(-101.473974461394 36.7107414933438,-101.474514206838 36.704253054642)"
26699,1713,17698,,,,,,,,3135.6666785263,,,,,"","SRID=4326;LINESTRING(-77.5946217353863 44.1310722784509,-77.6197036873448 44.1095256904328)"
