v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
23470,-90.0404267803716,38.7386709600085,joint,345000,60,,,,SRID=4326;POINT(-90.0404267803716 38.7386709600085)
16854,-93.8958936452349,49.0643204494094,substation,,,,,,SRID=4326;POINT(-93.8958936452349 49.0643204494094)
25563,-75.15960889129,40.7070100889546,joint,230000;69000,,,,,SRID=4326;POINT(-75.15960889129 40.7070100889546)
6044,-78.8398726969668,42.7896664868582,sub_station,,,,,,SRID=4326;POINT(-78.8398726969668 42.7896664868582)
8477,-94.6389691818178,47.3790423460162,substation,,,,,,SRID=4326;POINT(-94.6389691818178 47.3790423460162)
30911,-81.2679717365543,37.7023503883863,joint,,,,,,SRID=4326;POINT(-81.2679717365543 37.7023503883863)
26853,-87.225595093961,30.5711890245163,joint,230000,60,,Gulf Power,,SRID=4326;POINT(-87.225595093961 30.5711890245163)
10060,-86.4772482680929,31.4009747129504,station,,,,,,SRID=4326;POINT(-86.4772482680929 31.4009747129504)
2930,-74.9206090414964,40.6816004472668,substation,,,Glen Gardner Substation,,,SRID=4326;POINT(-74.9206090414964 40.6816004472668)
9424,-94.0387813907092,45.5691062278177,station,,,Benton Substation,,,SRID=4326;POINT(-94.0387813907092 45.5691062278177)
14469,-120.586136482858,35.0469575869802,substation,,,Callendar Switching Station,Pacific Gas & Electric,,SRID=4326;POINT(-120.586136482858 35.0469575869802)
8456,-97.260048166895,33.2194062589518,substation,138000,60,,,,SRID=4326;POINT(-97.260048166895 33.2194062589518)
29373,-94.2750276914452,45.5434733829059,merge,,,,,,SRID=4326;POINT(-94.2750276914452 45.5434733829059)
27733,-150.024342197307,61.7643976745039,joint,,,,,,SRID=4326;POINT(-150.024342197307 61.7643976745039)
10073,-86.0598262861167,30.9940511179111,station,,,,,,SRID=4326;POINT(-86.0598262861167 30.9940511179111)
