from,to,w
0,1,126.6821285882095
0,481,88.06697153563857
0,1026,76.1988920154392
1,958,42.48689349620165
1,1133,87.92327827014064
2,3,304.8256793729081
2,1896,547.7690216110739
3,547,537.5185097625563
3,1121,198.12581024746413
4,5,102.69329766754623
4,771,105.91836919417848
4,1284,178.31982002641092
5,269,120.08020191055921
5,1111,151.69641479660936
6,7,48.89366661553649
6,1339,98.83908969967378
7,1690,103.3440965489659
8,9,106.72468090118448
9,1214,67.25408067719874
9,1395,7.154347535784675
9,1576,61.25209015530437
10,11,72.39903731753334
10,741,19.298906253490802
10,782,15.99936561510266
10,783,39.072941920089356
11,987,89.45800859646256
11,1442,11.381221426240401
12,13,43.72357116273106
12,1150,29.855490418999246
12,1680,4.842438998300579
13,1724,211.0551569971278
14,15,157.44160648665786
14,84,156.7755244580584
14,1615,82.20937528976272
15,201,84.10281717701992
15,555,81.60912268777176
15,1489,305.21886528223416
16,17,65.26156001933204
16,826,81.23141360755818
16,974,238.72241435288868
16,1033,179.5601777371801
17,825,72.30482798202709
17,1008,101.35936502167695
18,19,152.15772291022847
19,601,74.71096063038722
19,823,5.521830616555088
20,21,395.8120895006937
20,843,139.91408005721848
20,998,12.190874966858525
20,1423,44.64372533225049
21,32,189.61045301486658
21,251,361.69412854764107
22,23,92.62215634483353
22,580,631.3052353266028
22,613,28.660560818379267
22,1122,279.92728198270294
23,457,346.79284806932304
23,811,463.16695551881264
23,906,327.8605385886745
24,25,76.75089687896288
24,1686,19.76529805842514
25,1534,69.92264631586023
25,1751,98.7128554540752
26,27,29.36697699762218
26,605,143.3893655440788
26,971,26.761163787165188
26,1067,39.07029786033296
26,1857,61.78274350735312
27,559,16.867704998925294
27,971,35.17368659614866
28,29,140.22711419146077
28,381,109.70702951564861
28,1430,169.37447277894518
28,1827,55.32542597615924
29,194,109.69540826054649
29,212,109.68388890541272
29,718,136.34104472020215
30,31,452.434371688947
30,1286,56.96450755880731
30,1581,61.62829624789913
31,328,119.41588230694768
31,1122,173.2081691718088
32,122,129.96362040025542
32,304,109.22864262319376
32,1307,435.8043467516389
33,34,274.23853048083856
33,399,263.79035008320983
33,434,432.3700611061699
33,512,399.2436981203365
34,174,140.00228015788272
34,411,521.6583085774528
35,36,99.03685115061049
35,75,150.43669888351755
35,175,144.82711763512492
35,180,100.47966693204943
36,195,145.3740083897992
36,743,149.44040969341614
36,1019,99.03638141143827
37,38,475.2829423440377
37,618,36.99248441831785
37,619,42.994817273619006
39,40,70.71433863341146
39,484,72.05544391819821
39,1021,298.1694170506236
40,185,306.67061701057503
40,1039,94.56732229158487
41,42,86.3343554896421
41,580,109.48931559192158
41,1608,38.79054493919041
42,393,13.164710250289524
42,1057,5.895579378019068
42,1411,32.32698929794555
43,44,182.59035154202672
43,165,207.07847934935862
43,1342,5.239777248707459
44,61,121.29713198335173
44,138,51.73982989019786
45,46,339.54525009823044
45,545,76.16604596169242
45,1338,100.8392179515253
46,414,37.34482122973073
46,472,66.6798810600965
47,48,18.519162893253373
47,1277,51.186919350585896
48,825,31.120655812321335
49,50,90.92716313572332
49,348,109.78406110627762
49,448,138.07747527291022
49,845,109.47632880438931
51,52,154.08196049843008
51,564,216.2285423519569
51,650,184.929750770539
52,1842,202.64463467882453
52,1925,45.306022154375555
53,54,301.3154170005894
53,1328,76.12543790054724
54,874,75.84430906246064
54,903,271.2579814677441
55,56,251.94505157331622
56,960,22.786181700542855
56,1855,46.43484076154717
57,58,14.145207511536237
57,264,20.436747257428372
57,1614,10.846789347681971
57,1643,17.71131094423386
58,264,9.79773272117234
58,602,12.467277016154727
58,683,11.325764090762165
59,60,118.49390583536987
59,1805,71.78129169422672
60,312,39.1314380786882
60,1624,15.955837752164458
60,1632,773.4692130109718
61,62,52.62877444921484
61,383,211.04563818887974
61,752,55.95972288769091
62,331,309.9970316354802
62,1287,77.71282845289036
63,64,192.4787879020838
63,320,103.73306296287032
63,762,106.78078419886923
63,1111,198.21905552975613
64,321,111.21234126984868
64,376,84.39572802275062
64,1548,33.6797192570257
65,66,39.817425151214906
65,429,15.088317820806656
65,724,196.02710396467944
65,1968,130.65896465413775
66,70,29.612875176419656
66,1243,29.579519579629036
67,68,134.19850701527312
67,878,82.75316366847915
67,1439,133.11243345252439
68,290,45.75307518760796
68,818,48.58902295274156
69,70,44.48281976797499
69,260,32.12072897296424
69,1956,11.933270432122425
70,1242,6.997578091116667
71,72,95.53027699095654
71,118,107.15047600497688
71,345,109.70969009955536
71,749,110.06130963042821
73,74,13.74927552234418
73,210,44.90088171629402
73,858,49.683426709283026
74,676,83.0088620961235
74,1707,43.22798703993024
75,76,101.97959622127344
75,371,255.06113696445453
75,743,102.31028386931968
76,85,31.703776415000767
76,180,148.58090829245543
77,78,349.93168323491966
77,1015,323.11971452263913
77,1940,195.4195336644287
78,226,236.42704534434387
78,1641,69.85942380375096
79,80,248.045949378893
79,601,51.790266671095
79,1588,126.93114157035819
80,186,87.32258105226785
80,447,74.37469528150838
81,82,145.1018546024385
81,1119,134.01700751762314
81,1554,91.69712875989353
82,526,47.63818897153214
82,777,61.55283628883142
83,84,83.7531016632157
83,591,95.70777384582702
83,915,7.653782402114634
84,1771,82.29130460810876
85,86,123.33296059590192
85,1394,157.9196806769398
85,1731,39.19826209855814
86,117,36.137085635027084
86,749,97.74894220127518
87,88,113.68328477692842
87,300,117.96116888061933
87,389,55.49074131514973
87,870,119.05604185032038
89,90,258.18056570727623
89,167,326.5943646545075
89,1014,207.97788696392
90,166,355.7366741672205
90,720,153.1113825099515
90,1188,156.01148601486946
91,92,74.36936948186079
91,456,58.03942824176233
91,501,75.29021358900395
92,501,13.950209981018158
92,1380,122.74807226813729
92,1385,13.283355041517432
93,94,305.79702311929555
94,159,153.91266594049773
94,1408,217.98046639559848
95,96,178.40654866809925
95,141,109.72981211669125
95,208,109.20580972976327
96,315,110.59639005660506
96,757,109.48444698181254
96,1233,109.5733165349223
97,98,37.0273709587768
97,1030,11.177026645154186
97,1664,66.7677733728464
97,1756,50.57946634724147
98,543,68.71602018038601
99,100,71.31246077693525
99,632,170.13350824178906
99,1082,589.4832238124042
101,102,151.82164808019118
101,831,50.78963969770419
102,1862,25.307300721095327
103,104,78.29210580784877
103,1901,457.6704038318361
104,1356,294.6147111377444
105,106,50.89920524124509
105,119,76.89455179315854
105,1140,15.225458494975555
105,1355,10.899607323656776
106,119,103.36975311868765
106,992,58.285953840826025
107,108,101.13829397496094
107,1587,159.0626869686344
107,1751,86.2639388286893
108,1050,104.360130992395
108,1313,13.562936959283974
109,110,343.68353250073335
109,1134,7.549789237374211
109,1653,55.63766572093604
110,386,65.8842502387898
110,1109,93.55281932159512
110,1217,15.732273804173456
111,112,109.69917621194843
111,230,101.3568641922673
111,338,108.70929009387424
111,1797,80.01671652856867
112,307,109.69915767384288
112,374,101.35830100995312
112,587,109.32505341310531
113,114,261.5350430630049
113,379,69.07737800151135
113,413,79.33070286855883
113,778,12.23506668244921
114,444,376.32337103088315
114,729,254.10941739010983
114,998,717.6655169439736
115,116,86.87709009067828
115,422,86.0541561724599
115,1625,207.52768724478295
116,712,78.3650732934922
116,1234,226.90558392186952
116,1386,20.370888184993593
117,118,74.99608821030232
117,412,77.427522921177
118,412,19.39855102078213
118,859,109.79460612874175
119,982,29.050534026445725
120,121,42.19889109988128
120,1548,20.24221163384856
120,1665,81.64657510066603
121,1216,13.371134800144864
121,1524,17.121975797924648
121,1665,63.048284154081735
122,123,113.15832557409423
122,794,44.56367245998291
124,125,114.78230038810825
124,382,99.04114856345544
124,606,102.90989191699501
124,772,109.76573222311688
125,200,98.23604185196103
125,1318,103.35303023551893
126,127,7.562558302034017
126,1320,36.42173861769295
126,1724,11.074481310809826
126,1931,7.961394976466114
127,1808,200.93210891044933
128,129,408.4114556563026
128,552,195.1269108732542
128,1158,347.06760204558
128,1596,521.96846549466
129,766,181.29507518978923
130,131,186.11843059478488
130,961,69.80408321374418
131,1718,58.31307337347211
132,133,110.31965228613412
132,212,137.26727368327096
132,448,143.5349652544183
132,718,109.98308894210834
133,213,137.62512503292555
133,731,55.4703841683786
133,1097,142.667477541972
133,1813,98.41395229857635
134,135,74.64479358911362
134,581,179.72500029961014
134,1333,25.684865701921645
135,463,30.06052475808707
135,1221,155.405443060573
136,137,107.36365931943128
137,164,118.49062293162007
137,300,120.4794471931357
137,424,155.73451014085
138,139,75.21898272716683
138,451,126.57468574818334
139,1241,92.93262003526426
139,1259,73.49982178978891
140,141,104.20977970614254
140,396,84.54542761318005
140,873,181.59639503778018
140,1183,114.98341053484265
141,757,180.10911765454765
141,1220,82.4671836016891
142,143,33.044175206259744
142,282,31.861669045344
142,1667,116.38364190362493
143,1569,316.8713765298165
144,145,60.60088852250904
144,158,64.81591151375898
144,768,92.2961402604606
145,978,141.07657217422965
146,147,190.65511415677176
146,189,105.22569713641776
146,662,254.3153397675972
146,1516,92.96361707825952
147,190,99.29333744426935
147,829,122.06138562913063
147,1668,97.68938928114676
148,149,140.1221021167048
148,199,101.448769203919
148,460,109.13972499225432
148,908,100.58905924599514
149,663,101.44801443392541
149,1948,156.63878127969477
150,151,104.84942504117834
150,465,112.2860062795336
150,953,133.2329656254369
151,465,199.20545550730625
151,765,126.71120553013829
151,1578,40.18461355075043
152,153,60.930517575711264
152,827,181.2197077482843
152,1343,84.59522668388588
153,427,14.527744623541501
153,855,14.411731351639233
153,1343,49.20831011557472
154,155,10.57738366971144
154,915,125.33787458381764
154,1108,49.981819455966395
155,1159,166.42939035941714
155,1349,124.44166686887658
156,157,101.79294346579599
156,1398,81.01533254432684
156,1758,103.71904138591363
157,761,131.25647321128523
157,824,384.3207943038422
157,1332,141.11937264529715
158,210,68.47207747325078
158,768,56.16159893381307
158,1083,146.64403538924074
159,536,61.72222685290798
159,1456,117.40051772157608
159,1634,67.98056191938335
160,161,17.941248842285482
